filename,memory,organization,technology,node_nm,normalized_total_area_mm2,improvement_total_area_mm2,normalized_read_latency_ns,improvement_read_latency_ns,normalized_write_latency_ns,improvement_write_latency_ns,normalized_read_energy_nJ,improvement_read_energy_nJ,normalized_write_energy_nJ,improvement_write_energy_nJ,normalized_leakage_power_mW,improvement_leakage_power_mW,normalized_read_edp_nJ_ns,improvement_read_edp_nJ_ns,normalized_write_edp_nJ_ns,improvement_write_edp_nJ_ns
2D_RRAM_130nm_output.txt,RRAM,2D,2D_RRAM,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_RRAM_180nm_output.txt,RRAM,2D,2D_RRAM,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_RRAM_22nm_output.txt,RRAM,2D,2D_RRAM,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_RRAM_32nm_output.txt,RRAM,2D,2D_RRAM,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_RRAM_45nm_output.txt,RRAM,2D,2D_RRAM,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_RRAM_65nm_output.txt,RRAM,2D,2D_RRAM,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_RRAM_90nm_output.txt,RRAM,2D,2D_RRAM,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_130nm_output.txt,SRAM,2D,2D_SRAM,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_180nm_output.txt,SRAM,2D,2D_SRAM,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_22nm_output.txt,SRAM,2D,2D_SRAM,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_32nm_output.txt,SRAM,2D,2D_SRAM,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_45nm_output.txt,SRAM,2D,2D_SRAM,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_65nm_output.txt,SRAM,2D,2D_SRAM,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_SRAM_90nm_output.txt,SRAM,2D,2D_SRAM,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_130nm_output.txt,STTRAM,2D,2D_STTRAM,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_180nm_output.txt,STTRAM,2D,2D_STTRAM,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_22nm_output.txt,STTRAM,2D,2D_STTRAM,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_32nm_output.txt,STTRAM,2D,2D_STTRAM,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_45nm_output.txt,STTRAM,2D,2D_STTRAM,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_65nm_output.txt,STTRAM,2D,2D_STTRAM,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_STTRAM_90nm_output.txt,STTRAM,2D,2D_STTRAM,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_130nm_output.txt,eDRAM,2D,2D_eDRAM,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_180nm_output.txt,eDRAM,2D,2D_eDRAM,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_22nm_output.txt,eDRAM,2D,2D_eDRAM,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_32nm_output.txt,eDRAM,2D,2D_eDRAM,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_45nm_output.txt,eDRAM,2D,2D_eDRAM,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_65nm_output.txt,eDRAM,2D,2D_eDRAM,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2D_eDRAM_90nm_output.txt,eDRAM,2D,2D_eDRAM,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
