filename,experiment,technology,node_nm,tsv_param,tsv_value,total_area_mm2,read_latency_ns,write_latency_ns,read_energy_nJ,write_energy_nJ,leakage_power_mW,notes
2D_SRAM_130nm_output.txt,1,2D_SRAM,130,,,49.407,10.311,7.623,1.057,0.089,16.37,
2D_SRAM_180nm_output.txt,1,2D_SRAM,180,,,94.721,16.429,11.758,1.995,0.168,10.571,
2D_SRAM_22nm_output.txt,1,2D_SRAM,22,,,1.836,1.184,0.71,0.035,0.035,65.837,
2D_SRAM_32nm_output.txt,1,2D_SRAM,32,,,4.262,1.061,0.605,0.123,0.123,234.632,
2D_SRAM_45nm_output.txt,1,2D_SRAM,45,,,8.893,0.939,0.526,0.174,0.173,48.328,
2D_SRAM_65nm_output.txt,1,2D_SRAM,65,,,12.348,9.942,7.213,0.266,0.022,124.012,
2D_SRAM_90nm_output.txt,1,2D_SRAM,90,,,23.68,14.165,10.088,0.483,0.041,32.787,
2D_eDRAM_130nm_output.txt,1,2D_eDRAM,130,,,23.844,2.907,1.846,0.359,0.346,4.178,
2D_eDRAM_180nm_output.txt,1,2D_eDRAM,180,,,38.646,1.762,1.277,1.152,1.158,2.367,
2D_eDRAM_22nm_output.txt,1,2D_eDRAM,22,,,0.63,0.79,0.579,0.019,0.019,9.799,
2D_eDRAM_32nm_output.txt,1,2D_eDRAM,32,,,1.44,0.757,0.607,0.066,0.066,29.992,
2D_eDRAM_45nm_output.txt,1,2D_eDRAM,45,,,4.555,0.663,0.453,0.117,0.117,9.986,
2D_eDRAM_65nm_output.txt,1,2D_eDRAM,65,,,5.957,2.488,1.55,0.098,0.092,24.507,
2D_eDRAM_90nm_output.txt,1,2D_eDRAM,90,,,11.789,1.164,0.965,0.33,0.331,10.721,
3D_SRAM_130nm_output.txt,1,3D_SRAM,130,,,25.035,5.401,4.321,0.542,0.087,16.986,
3D_SRAM_180nm_output.txt,1,3D_SRAM,180,,,47.988,7.67,5.951,1.021,0.162,10.96,
3D_SRAM_22nm_output.txt,1,3D_SRAM,22,,,0.969,0.705,0.447,0.027,0.027,70.279,
3D_SRAM_32nm_output.txt,1,3D_SRAM,32,,,2.132,0.633,0.423,0.09,0.089,234.632,
3D_SRAM_45nm_output.txt,1,3D_SRAM,45,,,5.245,0.654,0.367,0.133,0.132,51.269,
3D_SRAM_65nm_output.txt,1,3D_SRAM,65,,,7.105,4.698,3.74,0.138,0.037,145.831,
3D_SRAM_90nm_output.txt,1,3D_SRAM,90,,,12.002,6.345,4.939,0.249,0.042,34.079,
3D_eDRAM_130nm_output.txt,1,3D_eDRAM,130,,,12.001,1.915,1.303,0.282,0.283,5.36,
3D_eDRAM_180nm_output.txt,1,3D_eDRAM,180,,,22.978,2.679,1.757,0.527,0.527,3.474,
3D_eDRAM_22nm_output.txt,1,3D_eDRAM,22,,,0.55,0.42,0.281,0.022,0.021,16.151,
3D_eDRAM_32nm_output.txt,1,3D_eDRAM,32,,,1.068,0.472,0.34,0.061,0.061,50.137,
3D_eDRAM_45nm_output.txt,1,3D_eDRAM,45,,,3.125,0.504,0.273,0.103,0.102,18.412,
3D_eDRAM_65nm_output.txt,1,3D_eDRAM,65,,,7.743,0.538,0.347,0.207,0.206,107.014,
3D_eDRAM_90nm_output.txt,1,3D_eDRAM,90,,,14.848,0.703,0.439,0.392,0.39,36.661,
TSV_3D_SRAM_32nm_GlobalTSV1_output.txt,2,3D_SRAM,32,GlobalTSVProjection,1,2.149,0.633,0.423,0.09,0.09,234.632,
TSV_3D_SRAM_32nm_GlobalTSV2_output.txt,2,3D_SRAM,32,GlobalTSVProjection,2,2.133,0.633,0.423,0.091,0.09,234.632,
TSV_3D_SRAM_32nm_LocalTSV1_output.txt,2,3D_SRAM,32,LocalTSVProjection,1,2.25,0.633,0.423,0.093,0.093,234.632,
TSV_3D_SRAM_32nm_LocalTSV2_output.txt,2,3D_SRAM,32,LocalTSVProjection,2,2.139,0.633,0.423,0.095,0.095,234.632,
TSV_3D_SRAM_32nm_Redundancy1p2_output.txt,2,3D_SRAM,32,TSVRedundancy,1.2,2.132,0.633,0.423,0.09,0.09,234.632,
TSV_3D_SRAM_32nm_Redundancy1p5_output.txt,2,3D_SRAM,32,TSVRedundancy,1.5,2.133,0.633,0.423,0.091,0.09,234.632,
