filename,technology,layers,node_nm,total_area_mm2,read_latency_ns,write_latency_ns,read_energy_nJ,write_energy_nJ,read_edp_nJ_ns,write_edp_nJ_ns,leakage_power_mW,refresh_latency_us
RRAM_L1_45nm_output.txt,RRAM,1,45,0.865,3.068,9.207,0.062,0.203,0.190216,1.8690210000000003,2.416,
RRAM_L2_45nm_output.txt,RRAM,2,45,0.55,1.91,8.594,0.066,0.207,0.12606,1.7789579999999998,3.826,
RRAM_L4_45nm_output.txt,RRAM,4,45,0.329,1.882,8.59,0.127,0.268,0.23901399999999998,2.30212,3.851,
SRAM_L16_22nm_output.txt,SRAM,16,22,0.295,0.254,0.12,0.452,0.452,0.11480800000000001,0.05424,138.778,
SRAM_L16_32nm_output.txt,SRAM,16,32,0.62,0.244,0.126,1.369,1.369,0.334036,0.172494,471.264,
SRAM_L16_45nm_output.txt,SRAM,16,45,2.03,0.323,0.121,1.882,1.882,0.607886,0.22772199999999998,145.542,
SRAM_L16_65nm_output.txt,SRAM,16,65,4.451,0.38,0.137,3.452,3.451,1.31176,0.47278700000000007,654.016,
SRAM_L1_22nm_output.txt,SRAM,1,22,1.836,1.184,0.71,0.035,0.035,0.041440000000000005,0.02485,65.837,
SRAM_L1_32nm_output.txt,SRAM,1,32,4.262,1.061,0.605,0.123,0.123,0.13050299999999998,0.074415,234.632,
SRAM_L1_45nm_output.txt,SRAM,1,45,8.893,0.939,0.526,0.174,0.173,0.16338599999999998,0.090998,48.328,
SRAM_L1_65nm_output.txt,SRAM,1,65,12.348,9.942,7.213,0.266,0.022,2.644572,0.158686,124.012,
SRAM_L2_22nm_output.txt,SRAM,2,22,0.969,0.705,0.447,0.027,0.027,0.019035,0.012069,70.279,
SRAM_L2_32nm_output.txt,SRAM,2,32,2.132,0.633,0.423,0.09,0.089,0.05697,0.037647,234.632,
SRAM_L2_45nm_output.txt,SRAM,2,45,5.245,0.654,0.367,0.133,0.132,0.086982,0.048444,51.269,
SRAM_L2_65nm_output.txt,SRAM,2,65,7.106,4.698,3.74,0.138,0.037,0.6483240000000001,0.13838,145.831,
SRAM_L4_22nm_output.txt,SRAM,4,22,0.738,0.481,0.235,0.042,0.042,0.020202,0.00987,82.903,
SRAM_L4_32nm_output.txt,SRAM,4,32,1.542,0.488,0.242,0.127,0.126,0.061975999999999996,0.030492,285.915,
SRAM_L4_45nm_output.txt,SRAM,4,45,3.451,0.455,0.22,0.181,0.181,0.082355,0.03982,69.576,
SRAM_L4_65nm_output.txt,SRAM,4,65,7.19,0.519,0.273,0.348,0.348,0.180612,0.095004,279.868,
SRAM_L8_22nm_output.txt,SRAM,8,22,0.475,0.332,0.165,0.11,0.11,0.036520000000000004,0.01815,110.903,
SRAM_L8_32nm_output.txt,SRAM,8,32,1.014,0.338,0.172,0.338,0.338,0.11424400000000001,0.058136,386.048,
SRAM_L8_45nm_output.txt,SRAM,8,45,3.16,0.39,0.16,0.475,0.475,0.18525,0.076,110.772,
SRAM_L8_65nm_output.txt,SRAM,8,65,6.585,0.449,0.183,0.887,0.886,0.39826300000000003,0.162138,467.33,
eDRAM_L16_22nm_output.txt,eDRAM,16,22,0.282,0.256,0.104,0.45,0.45,0.11520000000000001,0.0468,91.104,0.016
eDRAM_L16_32nm_output.txt,eDRAM,16,32,0.618,0.248,0.105,1.371,1.37,0.340008,0.14385,348.162,0.023
eDRAM_L16_45nm_output.txt,eDRAM,16,45,1.255,0.267,0.107,1.862,1.861,0.49715400000000004,0.199127,77.726,0.047
eDRAM_L16_65nm_output.txt,eDRAM,16,65,4.431,0.352,0.12,3.449,3.447,1.2140479999999998,0.41364,582.589,0.021
eDRAM_L1_22nm_output.txt,eDRAM,1,22,0.63,0.79,0.579,0.019,0.019,0.01501,0.011000999999999999,9.799,0.202
eDRAM_L1_32nm_output.txt,eDRAM,1,32,1.44,0.757,0.607,0.066,0.066,0.049962,0.040062,29.992,1.667
eDRAM_L1_45nm_output.txt,eDRAM,1,45,4.555,0.663,0.453,0.117,0.117,0.07757100000000001,0.053001000000000006,9.986,0.443
eDRAM_L1_65nm_output.txt,eDRAM,1,65,5.957,2.488,1.55,0.098,0.092,0.243824,0.1426,24.507,0.162
eDRAM_L2_22nm_output.txt,eDRAM,2,22,0.55,0.42,0.281,0.022,0.021,0.00924,0.005901000000000001,16.151,0.269
eDRAM_L2_32nm_output.txt,eDRAM,2,32,1.068,0.472,0.34,0.061,0.061,0.028791999999999998,0.02074,50.137,0.199
eDRAM_L2_45nm_output.txt,eDRAM,2,45,3.125,0.504,0.273,0.103,0.102,0.051912,0.027846,18.412,0.111
eDRAM_L2_65nm_output.txt,eDRAM,2,65,7.743,0.538,0.347,0.207,0.206,0.111366,0.07148199999999999,107.014,0.166
eDRAM_L4_22nm_output.txt,eDRAM,4,22,0.441,0.301,0.173,0.035,0.035,0.010535000000000001,0.0060550000000000005,37.803,0.139
eDRAM_L4_32nm_output.txt,eDRAM,4,32,0.927,0.316,0.199,0.108,0.108,0.034128,0.021492,132.416,0.185
eDRAM_L4_45nm_output.txt,eDRAM,4,45,2.024,0.308,0.19,0.153,0.153,0.047124,0.02907,34.415,0.375
eDRAM_L4_65nm_output.txt,eDRAM,4,65,5.119,0.368,0.252,0.297,0.296,0.10929599999999999,0.07459199999999999,186.347,0.555
eDRAM_L8_22nm_output.txt,eDRAM,8,22,0.308,0.229,0.135,0.105,0.105,0.024045,0.014175,70.014,0.246
eDRAM_L8_32nm_output.txt,eDRAM,8,32,1.199,0.337,0.141,0.34,0.339,0.11458000000000002,0.047799,352.322,0.044
eDRAM_L8_45nm_output.txt,eDRAM,8,45,2.503,0.313,0.127,0.467,0.467,0.146171,0.05930900000000001,77.726,0.047
eDRAM_L8_65nm_output.txt,eDRAM,8,65,5.217,0.362,0.149,0.871,0.87,0.31530199999999997,0.12963,355.604,0.071
