filename,technology,node_nm,local_tsv_projection,global_tsv_projection,tsv_redundancy,total_area_mm2,read_latency_ns,write_latency_ns,write_energy_nJ,leakage_power_mW
TSVGrid_3D_SRAM_32nm_L0_G0_R1_output.txt,3D_SRAM,32,0,0,1.0,2.132,0.633,0.423,0.089,234.632
TSVGrid_3D_SRAM_32nm_L0_G0_R1p2_output.txt,3D_SRAM,32,0,0,1.2,2.132,0.633,0.423,0.09,234.632
TSVGrid_3D_SRAM_32nm_L0_G0_R1p5_output.txt,3D_SRAM,32,0,0,1.5,2.133,0.633,0.423,0.09,234.632
TSVGrid_3D_SRAM_32nm_L0_G1_R1_output.txt,3D_SRAM,32,0,1,1.0,2.149,0.633,0.423,0.09,234.632
TSVGrid_3D_SRAM_32nm_L0_G1_R1p2_output.txt,3D_SRAM,32,0,1,1.2,2.153,0.633,0.423,0.091,234.632
TSVGrid_3D_SRAM_32nm_L0_G1_R1p5_output.txt,3D_SRAM,32,0,1,1.5,2.158,0.633,0.423,0.091,234.632
TSVGrid_3D_SRAM_32nm_L0_G2_R1_output.txt,3D_SRAM,32,0,2,1.0,2.133,0.633,0.423,0.09,234.632
TSVGrid_3D_SRAM_32nm_L0_G2_R1p2_output.txt,3D_SRAM,32,0,2,1.2,2.134,0.633,0.423,0.091,234.632
TSVGrid_3D_SRAM_32nm_L0_G2_R1p5_output.txt,3D_SRAM,32,0,2,1.5,2.134,0.633,0.423,0.092,234.632
TSVGrid_3D_SRAM_32nm_L1_G0_R1_output.txt,3D_SRAM,32,1,0,1.0,2.25,0.633,0.423,0.093,234.632
TSVGrid_3D_SRAM_32nm_L1_G0_R1p2_output.txt,3D_SRAM,32,1,0,1.2,2.274,0.633,0.423,0.094,234.632
TSVGrid_3D_SRAM_32nm_L1_G0_R1p5_output.txt,3D_SRAM,32,1,0,1.5,2.309,0.633,0.423,0.096,234.632
TSVGrid_3D_SRAM_32nm_L1_G1_R1_output.txt,3D_SRAM,32,1,1,1.0,2.267,0.633,0.423,0.094,234.632
TSVGrid_3D_SRAM_32nm_L1_G1_R1p2_output.txt,3D_SRAM,32,1,1,1.2,2.294,0.633,0.423,0.095,234.632
TSVGrid_3D_SRAM_32nm_L1_G1_R1p5_output.txt,3D_SRAM,32,1,1,1.5,2.335,0.633,0.423,0.097,234.632
TSVGrid_3D_SRAM_32nm_L1_G2_R1_output.txt,3D_SRAM,32,1,2,1.0,2.251,0.633,0.423,0.094,234.632
TSVGrid_3D_SRAM_32nm_L1_G2_R1p2_output.txt,3D_SRAM,32,1,2,1.2,2.275,0.633,0.423,0.095,234.632
TSVGrid_3D_SRAM_32nm_L1_G2_R1p5_output.txt,3D_SRAM,32,1,2,1.5,2.311,0.633,0.423,0.097,234.632
TSVGrid_3D_SRAM_32nm_L2_G0_R1_output.txt,3D_SRAM,32,2,0,1.0,2.139,0.633,0.423,0.095,234.632
TSVGrid_3D_SRAM_32nm_L2_G0_R1p2_output.txt,3D_SRAM,32,2,0,1.2,2.141,0.633,0.423,0.096,234.632
TSVGrid_3D_SRAM_32nm_L2_G0_R1p5_output.txt,3D_SRAM,32,2,0,1.5,2.144,0.633,0.423,0.098,234.632
TSVGrid_3D_SRAM_32nm_L2_G1_R1_output.txt,3D_SRAM,32,2,1,1.0,2.157,0.633,0.423,0.095,234.632
TSVGrid_3D_SRAM_32nm_L2_G1_R1p2_output.txt,3D_SRAM,32,2,1,1.2,2.162,0.633,0.423,0.097,234.632
TSVGrid_3D_SRAM_32nm_L2_G1_R1p5_output.txt,3D_SRAM,32,2,1,1.5,2.169,0.633,0.423,0.099,234.632
TSVGrid_3D_SRAM_32nm_L2_G2_R1_output.txt,3D_SRAM,32,2,2,1.0,2.141,0.633,0.423,0.096,234.632
TSVGrid_3D_SRAM_32nm_L2_G2_R1p2_output.txt,3D_SRAM,32,2,2,1.2,2.142,0.633,0.423,0.097,234.632
TSVGrid_3D_SRAM_32nm_L2_G2_R1p5_output.txt,3D_SRAM,32,2,2,1.5,2.145,0.633,0.423,0.1,234.632
TSVGrid_3D_SRAM_45nm_L0_G0_R1_output.txt,3D_SRAM,45,0,0,1.0,5.245,0.654,0.367,0.132,51.269
TSVGrid_3D_SRAM_45nm_L0_G0_R1p2_output.txt,3D_SRAM,45,0,0,1.2,5.246,0.654,0.367,0.133,51.269
TSVGrid_3D_SRAM_45nm_L0_G0_R1p5_output.txt,3D_SRAM,45,0,0,1.5,5.246,0.654,0.367,0.134,51.269
TSVGrid_3D_SRAM_45nm_L0_G1_R1_output.txt,3D_SRAM,45,0,1,1.0,5.275,0.654,0.367,0.134,51.269
TSVGrid_3D_SRAM_45nm_L0_G1_R1p2_output.txt,3D_SRAM,45,0,1,1.2,5.334,0.65,0.367,0.135,52.461
TSVGrid_3D_SRAM_45nm_L0_G1_R1p5_output.txt,3D_SRAM,45,0,1,1.5,5.343,0.65,0.367,0.136,52.461
TSVGrid_3D_SRAM_45nm_L0_G2_R1_output.txt,3D_SRAM,45,0,2,1.0,5.246,0.654,0.367,0.134,51.269
TSVGrid_3D_SRAM_45nm_L0_G2_R1p2_output.txt,3D_SRAM,45,0,2,1.2,5.298,0.65,0.367,0.135,52.461
TSVGrid_3D_SRAM_45nm_L0_G2_R1p5_output.txt,3D_SRAM,45,0,2,1.5,5.299,0.65,0.367,0.136,52.461
TSVGrid_3D_SRAM_45nm_L1_G0_R1_output.txt,3D_SRAM,45,1,0,1.0,5.454,0.654,0.367,0.139,51.269
TSVGrid_3D_SRAM_45nm_L1_G0_R1p2_output.txt,3D_SRAM,45,1,0,1.2,5.496,0.654,0.367,0.141,51.269
TSVGrid_3D_SRAM_45nm_L1_G0_R1p5_output.txt,3D_SRAM,45,1,0,1.5,5.56,0.654,0.367,0.144,51.269
TSVGrid_3D_SRAM_45nm_L1_G1_R1_output.txt,3D_SRAM,45,1,1,1.0,5.484,0.654,0.367,0.141,51.269
TSVGrid_3D_SRAM_45nm_L1_G1_R1p2_output.txt,3D_SRAM,45,1,1,1.2,5.584,0.65,0.367,0.143,52.461
TSVGrid_3D_SRAM_45nm_L1_G1_R1p5_output.txt,3D_SRAM,45,1,1,1.5,5.657,0.65,0.367,0.146,52.461
TSVGrid_3D_SRAM_45nm_L1_G2_R1_output.txt,3D_SRAM,45,1,2,1.0,5.455,0.654,0.367,0.141,51.269
TSVGrid_3D_SRAM_45nm_L1_G2_R1p2_output.txt,3D_SRAM,45,1,2,1.2,5.548,0.65,0.367,0.143,52.461
