"run_id","case_id","process_node_nm","local_tsv_projection","global_tsv_projection","tsv_redundancy","tsv_hop_model","tsv_hop_factor","cache_total_area_mm2","cache_hit_latency_ns","cache_write_dyn_energy_nj","cache_total_leakage_mw","data_read_latency_ns","data_write_dyn_energy_nj","data_area_mm2","data_tsv_area_mm2","data_tsv_read_latency_ns","data_tsv_dyn_energy_nj","data_leakage_mw"
"B1_SRAM_2D_N22","B1_SRAM_2D","22",,,,,,"1.836","1.184","0.035","65.837","1.074","0.032205","1.506",,,,"56.146"
"B1_SRAM_2D_N32","B1_SRAM_2D","32",,,,,,"4.262","1.061","0.123","234.632","0.966531","0.115028","3.575",,,,"201.128"
"B1_SRAM_2D_N45","B1_SRAM_2D","45",,,,,,"8.893","0.939","0.173","48.328","0.822424","0.162467","7.541",,,,"41.497"
"B1_SRAM_2D_N65","B1_SRAM_2D","65",,,,,,"12.348","9.942","0.022","124.012","7.213","0.0197","11.04",,,,"110.4"
"B2_SRAM_3D_coarse_N22","B2_SRAM_3D","22",,,,,,"0.738","0.481","0.042","82.903","0.383492","0.037678",,"0.0011925","0.000228","0.014713","71.496"
"B2_SRAM_3D_coarse_N32","B2_SRAM_3D","32",,,,,,"1.542","0.488","0.126","285.915","0.370678","0.114341","1.356","0.00848","0.000105","0.045739","246.561"
"B2_SRAM_3D_coarse_N45","B2_SRAM_3D","45",,,,,,"3.451","0.455","0.181","69.576","0.323233","0.161666","2.729","0.0061268","0.000236","0.062258","55.585"
"B2_SRAM_3D_coarse_N65","B2_SRAM_3D","65",,,,,,"7.19","0.519","0.348","279.868","0.369094","0.310658","5.689","0.01325","0.000213","0.115532","219.745"
"B3_eDRAM_2D_N22","B3_eDRAM_2D","22",,,,,,"0.63","0.79","0.019","9.799","0.686759","0.017518",,,,,"6.664"
"B3_eDRAM_2D_N32","B3_eDRAM_2D","32",,,,,,"1.44","0.757","0.066","29.992","0.717421","0.060494","1.076",,,,"18.954"
"B3_eDRAM_2D_N45","B3_eDRAM_2D","45",,,,,,"4.555","0.663","0.117","9.986","0.608714","0.10927","3.836",,,,"7.739"
"B3_eDRAM_2D_N65","B3_eDRAM_2D","65",,,,,,"5.957","2.488","0.092","24.507","1.57","0.077871","4.462",,,,"14.199"
"B4_eDRAM_3D_coarse_N22","B4_eDRAM_3D","22",,,,,,"0.441","0.301","0.035","37.803","0.245258","0.031128",,"0.0011925","0.000228","0.014713","24.081"
"B4_eDRAM_3D_coarse_N32","B4_eDRAM_3D","32",,,,,,"0.927","0.316","0.108","132.416","0.262067","0.094819",,"0.00848","0.000105","0.045739","83.725"
"B4_eDRAM_3D_coarse_N45","B4_eDRAM_3D","45",,,,,,"2.024","0.308","0.153","34.415","0.247833","0.135279","1.495","0.0061268","0.000236","0.062258","24.474"
"B4_eDRAM_3D_coarse_N65","B4_eDRAM_3D","65",,,,,,"5.119","0.368","0.296","186.347","0.305317","0.25885","3.117","0.01325","0.000213","0.115532","112.911"
"TSV_SRAM3Dfine_N65_L0G0_R1.2_Avg","TSV_SRAM3Dfine","65","0","0","1.2","Average",,"8.946","0.649","0.309","232.393","0.510312","0.28057","7.361","1.859","0.000213","0.078216","183.759"
